职位名称,关键词,薪水月薪,城市,工作经验,公司名称,技能要求,"招聘类型（校招，社招）
","产业链环节	",获取时间,职位详情
数据中心主管,数据中心网络,15-20K,深圳,3-5年,润扬集团, IDC 运营,社招,数据中心网络,2023/1/10,"岗位职责：
1、挖掘数据中心业务。
2、对园区及周边 IDC 业务归类及挖掘。
3、保障 IDC 机房正常运行。
4、保障５G 业务的正常运行。
5、结合园区运营，协助完成营销工作及业务指标。"
数据中心运维工程师,数据中心网络,4-5K,成都,无,非络通达,服务器配置MySQLMemcachedRedis安全运维ApacheNginx,社招,数据中心网络,2023/1/10,"职位职责:
1、负责数据中心软、硬件系统上线工作；
2、负责智能设备的上线及维护；
3、负责软、硬件系统的日常运行维护，保障系统可用性；
4、负责软、硬件系统维护及故障排查；
5、配合保障运营管理工具系统数据的的准确性、完整性、及时性，对系统的使用情况进行分析；
6、配合收集业务需求并进行初步分析、配合公司测试迭代公司产品。"
IT数据中心运维主任工程,数据中心网络, 14-22K,常州,3-5年,天合光能,Linux  Windows     系统运维    虚拟化运维   机房运维,社招,数据中心网络,2023/1/10,"岗位职责：
1、参与数据中心机房相关项目建设；
2、对IDC机房设备进行日常巡检、故障记录及报表制作；
3、对IDC设备及网络进行调整、维护、故障处理等工作；
4、负责数据中心网络及服务器状况监控；"
数据中心运维服务管理工程师,数据中心网络,15-20K,北京,1-3年,百度,安全运维    数据中心    运维服务,社招,数据中心网络,2023/1/10,"工作职责：
-负责百度数据中心运维服务管理和系统部安全风险控制相关工作，具体分为IDC项目管理、安全风控两个方向
-IDC项目管理方向：负责数据中心现场运维服务的管理工作，包括数据中心现场运维团队管理、服务质量与效率把控，协调各业务方需求并推动问题解决
-安全风控方向：负责安全风险的识别评估、控制与改进；基于安全风险域，制定合规检查标准，进行风险合规排查，发现问题推进整改；持续提升安全主动预防能力以及抗风险能力，制定安全策略"
数据中心专员,数据中心网络,10-15k,北京,3-5年,旷智中科,CISSP/CISPPMP虚拟机技术windows、linux、IP,社招,数据中心网络,2023/1/10,"岗位职责：
1.	负责数据中心项目的售前技术工作，包括技术交流、解决方案撰写、讲解，以及产品演示、培训等工作；
2.	为客户助力，主动热情与客户对接并做好沟通交流，维护良好的合作关系；
3.	负责撰写投标方案文件和技术应答文件，并参与投标现场宣讲答疑；
4.	整理提炼行业解决方案、应用场景等内容形成文档输出；
5.	跟踪行业新技术、新方向，对竞品进行分析，提出产品优化建议；
6.	运维保障数据中心设备运行，对数据中心设备进行维护。"
JAVA开发工程师—数据中心,数据中心网络,16-30k,上海,3-5年,朗森特,分布式技术SpringRedisMySQL数据结构MongoDB,社招,数据中心网络,2023/1/10,"职位要求：
1 拥有四年以上分布式架构
2 有一定的并发、高性能、高可用开发经验
3 精通java，熟悉jvm、spring、mybatis、springboot、springcloud、kafka、redis、mysql
3 有较强分析和解决问题的能力，良好的沟通能力以及团队合作能力，责任心强
4 互联网-医疗行业项目者优先
5 本科以上学历"
数据中心运维工程师,数据中心网络,4-5k,成都,无,非络通达,服务器配置MySQLMemcachedRedis安全运维ApacheNginx、Linux,社招,数据中心网络,2023/1/10,"职位职责:
1、负责数据中心软、硬件系统上线工作；
2、负责智能设备的上线及维护；
3、负责软、硬件系统的日常运行维护，保障系统可用性；
4、负责软、硬件系统维护及故障排查；
5、配合保障运营管理工具系统数据的的准确性、完整性、及时性，对系统的使用情况进行分析；
6、配合收集业务需求并进行初步分析、配合公司测试迭代公司产品。"
数据中心系统工程师,数据中心网络,9-14k,上海,3-5年,网宿科技,Linux、MRTG,社招,数据中心网络,2023/1/10,"岗位描述：
1. 负责内部系统服务器规划和搭建；
2. 负责客户服务器的安装、调试、维护与管理；
3. 协同销售人员为特殊需求用户制作方案说明书与特殊预案；
4. 协助处理客户的售后服务、技术支持事宜。
5. 负责技术培训，提高技术应用水平；
6. 负责新软件新平台测试以及其它能够改善工作流程的尝试工作"
IT数据中心运维主任工程师,数据中心网络,14-22k,常州,3-5年,天合光能,Linux、Windows系统运维、虚拟化运维、机房运维,社招,数据中心网络,2023/1/10,"岗位职责：
1、参与数据中心机房相关项目建设；
2、对IDC机房设备进行日常巡检、故障记录及报表制作；
3、对IDC设备及网络进行调整、维护、故障处理等工作；
4、负责数据中心网络及服务器状况监控；"
数据中心高级工程师,数据中心网络,50-80k,中卫,5-10年,Amazon,运营和维护。,社招,数据中心网络,2023/1/10,"工作内容：
*监督数据中心机械和电气设备的日常运营和维护。
* 充当数据中心内所有设施相关问题的上报点，并根据需要上报给数据中心设施经理。
* 建立性能基准，进行分析，并就关键设施运营和维护的各个方面编写报告。
* 为工程运营技术人员、总工程师和供应商支持团队创建和部署新的标准做法。
* 数据中心容量规划和报告。
* 为工程运营技术人员提供培训和指导。
* 确保供应商和亚马逊员工遵守所有安全程序。
* 建立性能基准，进行分析，并就关键设施运营和维护的各个方面编写报告。
* 向非技术受众传达复杂的技术信息。"
