职位名称,关键词,薪水月薪,城市,工作经验,公司名称,技能要求,"招聘类型（校招，社招）
","产业链环节	",获取时间,职位详情
数据中心 项目经理,数据中心网络,25-40k,上海,3-5年,中经云,工程管理,社招,数据中心环节,2023/1/11,"岗位职责：
1、全程把控数据中心建设项目，从政府立项到项目完工验收移交，进行全生命周期的管理；
2、编制项目管理计划，对现场施工质量、进度、成本、安全、变更、风险控制等方面进行管理，及时协调相关单位，确保建设项目顺利开展，确保项目进度计划有效执行，定期反馈项目报告；
3、组织相关部门确定方案设计、招投标文件及采购进度计划表，跟进方案设计、设备采购和到场的进度；
4、参与各施工单位及监理单位的施工进度确认会、例会等等，在会场能把握会议方向，正确判断并引导项目良好进行；
5、在验收及移交阶段，检查项目完成状态和项目移交文件，提供验收计划，组织各项验收并审核竣工资料，协助完成审计及移交手续，并配合相关部门完成项目工程结算；
6、项目结束后，编写项目总结及相关资料；
7、领导安排的其他工作。"
数据中心高级工程师,数据中心网络,50-80k,中卫,5-10年,Amazon,日常运营和维护,社招,数据中心环节,2023/1/11,"工作内容：
*监督数据中心机械和电气设备的日常运营和维护。
* 充当数据中心内所有设施相关问题的上报点，并根据需要上报给数据中心设施经理。
* 建立性能基准，进行分析，并就关键设施运营和维护的各个方面编写报告。
* 为工程运营技术人员、总工程师和供应商支持团队创建和部署新的标准做法。
* 数据中心容量规划和报告。
* 为工程运营技术人员提供培训和指导。
* 确保供应商和亚马逊员工遵守所有安全程序。
* 建立性能基准，进行分析，并就关键设施运营和维护的各个方面编写报告。
* 向非技术受众传达复杂的技术信息。"
数据中心运维工程师,数据中心网络,15-30k,宁波,5-10年,吉利汽车,LinuxMySQL系统运维K8S大数据AI人工智能docker容器计算存储网络云计算,社招,数据中心环节,2023/1/11,"1.负责管理公司大数据、人工智能、智能驾驶和车联网云平台等数据中心软硬件平台架构需求，将业务需求落实到数据中心建设中去。
2.运维数据中心软硬件资源和平台，包括但不限于和供应商对接、软硬件平台日常运维监控、问题定位、环境搭建、资源和平台长短期规划等
3.开发和管理相关数据处理工具链，运维脚本等。"
数据中心技术负责人,数据中心网络,40-60k,北京,5-10年,东方优播,Hadoop、Spark、Flink、MySQL、PostgreSQL,社招,数据中心环节,2023/1/11,"岗位描述：
1、负责数据平台和数据产品的规划和建设，并为战略决策和业务决策提供决策依据； 
2、制定数据治理、数据质量、数据模型、数据指标等数据领域相关标准，并推动落地； 
3、负责与业务团队协同规划大数据平台体系架构设计，数据领域模型建设，并推动落地；
4、管理数据平台研发团队，制定平台规划和技术路线，确保公司平台技术优势；
5、协调各个环节及资源，推进团队工作，保障数据平台的高效可靠运营；
6、负责在数据平台、大规模分布式系统等领域开展前沿技术研究和落地；"
数据中心运维工程师,数据中心网络,15-25k,北京,1-3年,360集团,系统运维,社招,数据中心环节,2023/1/11,"岗位职责
1、	负责参与公司租用数据中心的规划，选址考察，技术评估和综合布线等数据中心建设工作。
2、	负责参与公司级自建数据中心规划，选址，建设等数据中心交付相关需求，并处理各类工程建设相关问题，推动数据中心建设，确保工程质量；
3、	负责参与公司内各业务的需求对接和沟通工作，提炼业务需求和行业动向发展，提前评估和规划数据中心建设方案制订等工作。
4、	负责公司已有数据中心的动环系统及暖通系统的定期巡检，管理报告的生成，及sla保障性指标。
4、  熟悉土建和工程建设，负责与规划院和设计院进行沟通，完善各类设计方案，后期施工，包括但不仅限于承重、防火、安全、配送、制冷、能耗、配电、后勤保障等各种领域；
5、  协调业务部门，集采部门和财务等部门，完成各类数据中心项目的全生命周期的管理报告的制订和维护。"
数据中心网络研究员,数据中心网络,20-40k,北京,3-5年,中国移动,数据中心网络云网络可编程网络srv6ipv6+网络前沿技术,社招,数据中心环节,2023/1/11,"1.数据中心网络前沿技术研究与标准化
2.熟悉云网络，srv6，rdma，可编程网络，ipv6+等网络新技术
3.有高水平论文，专利者优先"
数据中心工程师,数据中心网络,18-20k,南京,无,中国电科28所,系统建设/运维经验网络安全相关经验CCNA/CCNPHCNA/HCNPHCIE,社招,数据中心环节,2023/1/11,"负责数据中心平台基础设施硬件建设论证设计、集成实施等
负责数据中心网络、安防、计算存储、运维等专业研究、设备选型
具有基本的项目管理知识，办公软件使用
熟悉数据中心运维，机房环境设计等专业知识

王先生
今日活跃"
数据中心解决方案架构师,数据中心网络,50-80k,北京,5-10年,NVidia,容器技术网络交换技术算法基础GPUInfinibandHPCMPI并行计算,社招,数据中心环节,2023/1/11,"基于NVIDIA CPU+GPU +DPU 的数据中心基础架构的生态系统，帮助客户和合作伙伴构建先进的 CPU+GPU +NVIDIA 网络的高性能计算、人工智能平台。 并在日常工作中， 给客户和或作伙伴提供培训、POC 测试支持、方案设计建议指导等工作
•支持和做伙伴开发创新的CPU+GPU+ 网络的系统架构，以提升和扩展高性能计算、深度学习和机器学习性能， 提升系统的效率"
智能仿真平台数据分析,数据中心网络,20-30k,嘉兴,无,南湖研究院,C/C++WindowsLinux,社招,数据中心环节,2023/1/11,"岗位职责：
""（以下工作中可以选择适当侧重于数据库技术开发或者网络开发）
• 负责基于UE4引擎，在Linux/Windows平台下，搭建联网仿真所需服务器与客户端；
• 负责智能仿真平台中各类交互功能与数据传输的网络化；
• 负责智能仿真平台中训练数据的存储、检索、统计分析与可视化；
• 负责数据库与UE4引擎的连接以及数据评估和展示的操作界面；"""
网络工程师,数据中心网络,8-13k,福州,1-3年,锐捷网络,LinuxCCIE数据中心网络,社招,数据中心环节,2023/1/11,"1.工作内容
测试交换机软件系统
模拟TX/ALI等顶级互联网公司的IDC&DCI网络"
高级网络工程师,数据中心网络,12-18k,武汉,5-10年,迈异科技,NFV、SD-WAN、SDN、VxLAN、OVS、DPDK、NAT、LVS,社招,数据中心环节,2023/1/11,"职责描述：
1.数据中心网络架构的规划及设计，制定网络架构方案；
2.对已部署的网络结构提出优化调整意见，并配合方案输出，推动优化；
3.建立完善的网络割接、网络资源管理等流程制度，实现网络标准化管理；
4.开展网络领域新技术研究，为自有数据中心网络发展及优化提供建议；
5.承担相关IT咨询项目的对外支撑及方案输出工作；
6.负责处理突发事件，解决网络故障。"
网络安全/数据安全研究员,数据中心网络,7-12K,北京,无,中国软件评测中心,数据安全信息安全安全研究分类分级活动规划,社招,数据中心环节,2023/1/11,"岗位职责：
1.进行数据安全/网络安全相关法规、政策、标准等研究和落地。
2.数据安全产品和技术的研究
3.数据安全产业成果的的研究
4.数据安全产业系列方案的规划和落地
5.数据安全的普法贯标、数据分类分级咨询、数据安全评估
6.网络安全相关技术测评和管理测评、规划咨询
7.企业技术白皮书及其他研究成果物的撰写"
大数据引擎开发,数据中心网络,20-40k,杭州,无,菜鸟网络,搜索引擎技术OLAPC++Java,社招,数据中心环节,2023/1/11,"包括但不限于
1. 大数据处理和分析，高效加工和利用阿里经济体产生的物流数据。
2. HSAP计算引擎研发，一起去解千亿级别物流数据高效召回的难题。
3. 时序和空间功能研发，一起为阿里巴巴新零售生态打造时序和空间检索技术。"
网络安全大数据挖掘高级工程师,数据中心网络,16-30k,成都,3-5年,中国网安,数据挖掘数据仓库数据分析分布式技术HadoopSparkRedis大数据,社招,数据中心环节,2023/1/11,"职位描述：
1.负责网络安全领域大数据相关项目论证和设计，进行大数据场景下的数据统计、数据挖掘、机器学习、深度学习，包括数据整理、模型建立、模型应用、评估优化等；
2.将客户需求准确转化为可执行的数据模型，针对不同的应用场景，负责编写数据挖掘算法及其优化。"
可编程网络研发工程师,数据中心网络,14-28k,杭州,无,之江实验室,P4、网络协议,社招,数据中心环节,2023/1/11,"岗位职责:
1.负责基于P4语言开发新型网络协议栈；
2.负责数据平面的软件交换设备的研发工作；
3.参加P4网络编程语言编译器相关研发工作；
4.参加可编程网络的流量调度等功能研发；
5.负责跟进可编程网络数据平面技术的前沿发展趋势。"
网络金融总部--大数据产品经理,数据中心网络,30-60k,上海,3-5年,申万宏源,SAS/R/Python、sql、MATLAB,社招,数据中心环节,2023/1/11,"岗位职责：
1）负责移动APP运营数据的分类汇总、分析研究，构建移动APP用户行为数据的数据挖掘、数据分析体系；
2）负责对零售业务数据进行整合、分析挖掘，对移动APP平台运营和零售客户交易理财数据进行模型分析，挖掘用户行为特征，为平台运营和产品发展策略提供指引；
3）负责侧重Level2的深度数据产品和特色指标生产，以及互联网数据运营体系搭建；
4）通过大数据统计和分析能够发现零售客户的痛点和热点问题， 利用数据挖掘/统计的理论和方法解决实际问题。"
网络管理,数据中心网络,18-28k,北京,3-5年,中钞信用卡产业发展,交换机、路由器、防火墙、SDN、SDWAN,社招,数据中心环节,2023/1/11,"岗位职责：
1.行业业务网系统含总公司本部网络系统、数据中心网络系统、行业业务网广域网系统；
2.行业人行业务网系统包括总公司本部及行业广域网系统，卡公司德胜本部人行业务网、行业业务网、卡公司互联网等。
3.以上系统的管理、升级维护等工作，并负责研究行业以上网络系统的设计、建设和优化工作。"
网络研发专家,数据中心网络,25-40k,杭州,无,日进,Linux/C,社招,数据中心环节,2023/1/11,"工作职责：
1、参与网络相关技术研发、架构设计工作，包括网络规划，以及网络转发面、控制面及管里面架构设计，以及技术方案选型、原型验证工作；
2、参与网络相关方向新技术调研及竞品技术分析等相关工作，包括但不限于算力网络、SDN、NFV、虚拟化、云计算、硬件卸载等相关技术，应用前沿技术提升产品核心竞争力；
3、负责产品技术难题攻关及线上的疑难问题攻关；
4、负责开发过程中的编码实现，以及测试、性能调优、资源占用优化工作；
5、负责研发版本管理、软件发布等相关工作"
网络工程师,数据中心网络,25-30k,上海,3-5年,国泰君安证券,网络建设/系统集成经验、CCIE网络运维经验、网络自动化、CC网络设备、网络安全网络规划、设计Python、云计算,社招,数据中心环节,2023/1/11,"岗位职责：
1、负责公司整体网络架构的规划、设计与建设，建立和完善规范化的运维体系，保障业务运行的稳定，并结合公司的业务需求，不断优化公司网络架构；
2、负责开发自动化运维工作，探索运维自动化级各类创新途径，缩短运维响应时间，降低运维成本；
3、负责推进SDN网络解决方案，根据公司云平台的功能及特性，设计满足公司业务需求的软件定义网络解决方案；
4、参与网络新业务的开发及设计，网络新技术的研究和测试；
5、保障网络系统的稳定运行，处理突发事件，对疑难问题进行跟踪并解决。"
国泰君安证券,数据中心网络,40-60k,杭州,3-5年,阿里巴巴集团,网络协议、Linux、虚拟化、运维网络、设备、C/C++、云网络、vpcovs,社招,数据中心环节,2023/1/11,"1. 负责云网络转发面的架构和研发工作，包括软硬件结合、虚拟化等网络技术
3. 负责云网络产品的架构与设计，打造全球领先的云网络产品
4. 负责云网络虚拟网关架构演进，专注于高性能，高可靠，低成本的网关架构
5. 负责多维度网络质量专家系统的架构与实现，提供可视化，可自愈的排障系统
6. 负责云原生，IoT等网络系统的架构与设计，打造与时俱进，不断进化的网络子系统"
网络集成管理岗,数据中心网络,20-25k,上海,3-5年,西部证券,CCIE、HCIE,社招,数据中心环节,2023/1/11,"主要岗位职责：
（1）负责制定网络系统、应用系统的安全基线和安全策略；
（2）负责对接业务部门基础设施的服务需求，负责网络集成项目的需求采集、整理分析、技术参数制定、方案撰写等工作；
（3） 负责基础设施项目的实施方案制定、供应商技术资源协调、业务部门培训、现场实施工作的执行、记录、反馈和验收、报告撰写等工作；
（4）负责基础设施的技术服务、运维保障、方案撰写和运维管理工作（包括但不限于安装、巡检、监控、排障、优化等）、技术工具（工具软件和硬件）的制备、知识库归纳沉淀等工作；
（5）负责网络系统的应急处置和应急演练工作."
网络工程师,数据中心网络,12-14k,深圳,无,中钞光华,OA,社招,数据中心环节,2023/1/11,1.负责IT基础架构的规划、设计、实施及维护，包括网络、语音、视频、服务器、操作系统、数据库等设备及系统等；2.负责公司基础设施相关工程项目的设计与规划管理；3.负责公司灾备环境与监控平台的规划实施与管理，负责公司文件共享与数据备份的规划与日常管理；4.桌面支持管理，保障桌面系统正常运行，满足日常工作的需要，负责对公司综合布线系统的维护与日常管理；5.负责公司基础软件的运行维护与日常管理；6.负责OA等办公系统运维。
网络工程师,数据中心网络,11-20k,上海,1-3年,尚航科技,IDC行业、IT系统集成商经验、DCIM系统,社招,数据中心环节,2023/1/11,"职位描述：
1.负责协助销售人员与客户进行技术交流，针对用户需求深入分析帮助用户提供解决问题方案。
2.负责编写技术交流资料，包括售前分析报告、完善需求调查表和投标书。
3.负责编写IDC和网络及系统架构等业务技术方案。
4.负责编写公司对外的技术文档，包括技术白皮书和案例分析等
5.负责收集和整理有关IDC、网络及系统架构等业务的前沿技术动态。"
网络工程师,数据中心网络,6-10k,北京,无,中铁信息,OSFP、BGP、MPLS、802.1x、Windows、Linux,社招,数据中心环节,2023/1/11,"岗位职责：
1.配合项目部门进行项目前期网络设计，项目中网络实施及后期网络运维等工作；
2.配合销售部门做项目投标过程中相关网络技术支持工作；
3.配合研发部门进行项目研发过程中相关网络技术支持工作；
4.对集团自用网络系统进行运维、优化。"
