职位名称,关键词,薪水月薪,城市,公司名称,技能要求,工作经验,"招聘类型（校招，社招）
","产业链环节	",获取时间,职位详情
产品研发工程师,数据中心网络,20-40K,无锡,天通瑞宏科技有限公司,"滤波器,研发",经验不限,社招,数据中心网络,2023/1/11,"1.1负责SAW/BAW滤波器/双工器等新品仿真设计，产品封装EM仿真优化；
1.2参与研发项目具体实施方案的制定工作；
1.3参与产品规格书制作，参与产品的改进与完善，完成公司产品技术标准的更新；
1.4协助研发经理对对顾客特殊特性要求进行识别。
2.1负责组织协调产品研发工作，为产品研发工程中遇到的问题提供技术支持；
2.2相关培训项目。
3.1负责完成实验项目开展过程中的数据、信息收集整理和分析，并根据实验结果做出的相应的改进计划或方案；
3.2完成所承担项目的阶段性报告，组织各阶段项目的评审工作；
3.3参与各自所承担项目的技术参数、指标的制定，并形成相应的规范文件；
3.4完成各自承担项目档案的收集整理，并按照要求进行规范存档；
4.1负责规范产品研发测试流程，并与测试工程师合作进行相关器件的性能测试；
4.2负责监督实验人员的标准、规范的执行；
4.3对产品质量的反馈与建议作出相应反馈；
4.4与工艺工程师配合进行新工艺开发；
4.5配合模型研发工程师调试和改进设计平台。
5.1其他领导交办的事项
任职要求：
1.硕士及以上学历，通信、电子、电磁、电路等相关专业毕业，（重点）本科，并有丰富工作经验的亦可
2.射频滤波器SAW/FBAR/BAW研究背景研发或1年以上相关工作经验，有声表面波器件相关工作经验；
3.熟悉使用常用的仿真设计软件，及制图工具；熟悉网络分析仪/频谱仪等常用仪器使用，熟悉手机射频前端相关知识，梯形和CRF结构的SAW滤波器设计方法，具备英语读写能力。
4.工作态度端正，爱岗敬业，有较强的学习能力、钻研精神，有良好的团队合作意识，良好沟通能力。"
射频主管/经理/总监,数据中心网络,70-80K,无锡,无锡卡曼企业管理有限公司,"多通道波束赋形芯片,高性能微波元器件",5-10年,社招,数据中心网络,2023/1/11,"职责描述：
1、领导管理设计团队； 
2、招募人才，培养新人，壮大团队； 
3、率队开发高性能微波元器件、多通道波束赋形芯片产品，直至量产； 
4、研发新技术，寻求新突破。
任职要求：
1、硕士及以上学历，集成电路与系统、通信、微波等相关专业背景；
2、5年以上相关工作经历，有成功量产工程经验、项目管理经验及团队管理经验；
3、具备责任心、领导力和执行力。
Base：南京研发中心"
研发工程师（新技术）,数据中心网络,8-13K,无锡,双良集团有限公司,"热动力,热能与动力工程专业,热分析,工程热物理专业,SolidWorks,新能源",1-3年,社招,数据中心网络,2023/1/11,"岗位职责：
1、负责研发项目热场、设备结构设计；
2、协助仿真中心完善边界条件、仿真结果分析；
3、负责新技术导入、验证结果分析；
4、完成相关项目专利布局。
任职要求：
1、新能源材料与器械、物理学、材料、热能与动力工程、数学等专业，本科以上学历；
2、3年以上直拉单晶技术开发工作经验；
3、熟悉32吋及以上热场设计原理，了解硅晶体生长原理；
4、熟悉solidworks、CAD、CG-sim、fluent等软件；
5、有N型品质改善、OCZ/CCZ、高拉速、低氧等项目经验者优先；
6、有良好的沟通、学习能力，具备团队协助意识。"
技术专家(C++三维建模方向),数据中心网络,15-20K,无锡,华中科技大学无锡研究院,"QT,OpenGL,Makefile,Cmake",3-5年,社招,数据中心网络,2023/1/11,"岗位职责：
1、你将参与研究院面向航空航天重点项目先进制造软件3d功能核心模块的开发；
2、开发和利用现有的3d引擎的进行复杂几何实时运算仿真系统的研发；
3、配合其他智能和先进制造软件模块C++动态链接库的调用和整体功能的集成
4、配合完成仿真，人工智能算法研究，解决算法的落地，向集团专家展示研究成果
任职要求：
1、硕士及以上学历，计算机，软件，图形图像，自动化，机电工程等相关专业，3~5年相关经验；具有扎实的矩阵论和线性代数的基础
2、热爱程序开发，熟悉面向对象的软件设计和开发
3、熟练使用C++, 熟悉Qt，MFC框架，visual studio，会使用makefile cmake等编译脚本；
4、熟悉或者使用过OPENGL或者DirectX库，熟练使用三维物体变换矩阵，具有实践项目经验；
5、熟悉敏捷开发流程软件开发流程；
6、具有团队合作精神和自我学习的能力
    集萃科技是依托华中科技大学无锡研究院的科技创新企业，是国家数字化设计与制造创新中心江苏中心，以及江苏省数字化设计与制造创新中心。集萃数字制造装备事业部专注于国家重大制造加工项目，聚焦突破两机数字化智能化加工技术瓶颈中的基础软硬件问题，为先进制造工业提供成套工艺解决方案。现有团队包含中科院院士，众多前沿领域教授专家和博士硕士研究生。"
高级专利分析师,数据中心网络,15-20K,无锡,广州奥凯信息咨询有限公司,专利分析,5-10年,社招,数据中心网络,2023/1/11,"职位：高级专利分析师
职责描述：
1.  根据客户和项目需求，完成专利检索与分析项目（包括但不限于专利布局、专利导航、分析评议、态势分析与侵权预警分析等），并做好关联项目的进度与质量把控，保证项目成果如期交付并顺利验收。能够逐步主导解决复杂的解决方案类的项目；
2.  为销售团队提供售前售后等技术支持，包括售前咨询、宣讲培训、项目需求调研、项目申报材料与技术方案的撰写等工作。
3.   做好面向客户或业务关联机构所开展的各种培训与技术交流活动的方案设计与培训组织与实施工作。
4.  负责与项目有关联的公司内外机构的沟通与协调工作，并代表公司参与行业活动，推广公司业务，传播服务价值。
5.  做好专利检索与分析技术的创新研究工作：掌握行业最新的研究方法及案例解读，结合团队优势，产品特点及客户需求，开发引领行业的业务模式，引导客户需求。
6.  做好所辖项目团队的日常管理与人才培养工作。
任职要求：
1. 全日制硕士及以上学历，理工科背景，985/211高校、生物医药、电子、计算机等专业优先；
2. 5年以上知识产权行业经验，有专利代理人、专利审查员或从事企业IPR经验者优先；
3. 精通专利检索与分析、挖掘与布局、高价值专利培育等专业知识与能力；
4. 思路清晰，逻辑严谨，独立的思考与判断力；
5. 敏锐的市场意识，重视客户需求，良好的质量管控意识和以客户为中心的服务意识；
6. 较强的沟通与协调能力，优秀的团队影响力；
7. 英语六级，能够熟练阅读英文专业文献，听说能力优秀者优先。"
技术培训讲师,数据中心网络,10-15K,无锡,无锡药明生物技术股份有限公司,"技术培训,生物制药工艺,GMP生产技术",经验不限,社招,数据中心网络,2023/1/11,"工作内容：
1.负责MFG新员工MFG GMP Basic SOP课堂培训；
2. 负责MFG Module/OJT流程管理，包括SOP的撰写与升版；
3. 负责MFG新员工Module/OJT 实操与记录的培训；
4. 负责MFG新员工Module/OJT记录的审核与归档；
5. 负责MFG课程/模块的新建以及培训材料的收集、撰写与更新；
6. 负责培训中心实验室logbook的申领、回收、GDP的审核整改等；
7. 与培训中心实验室与培训模块相关现有设备的验证、校验、维护、维修，以及新进设备的选型，物料耗材的采购与周转；
8. 配合相关变更、偏差的调查，以及审计整改活动计划的执行；
9. 负责配合部门对有培训需求的员工进行培训，能够按时完成个人的培训任务；
10. 负责生产讲师团队整个实操培训生命周期的管理，包括课程协调、安排、落实、汇总、归档等，包括NEOP OJT培训、在职员工OJT培训和Annual OJT培训；
11. 领导交办的其他工作
 
任职资格：
生物、制药、化学等相关专业本科及以上学历，具有生物制药相关工作经验
具备良好的语言表达、沟通及协调能力，具有团队合作精神、敬业、严谨
特别知识
以下要求二选一：
一、具有GMP生产上游细胞培养相关技术和经验，包括但不仅限于如下要求
1. 精通GMP生产车间的细胞复苏与传代、EOPC建库；
2. 熟练掌握GMP生产车间的RM/WAVE等生物反应器的操作；
3. 熟练掌握接管机、封管机、摇床、BSC、Vi-cell、BGA、RM/WAVE、台秤等设备的日常使用与维护；
4. 至少具有两年以上GMP生产经验。
二、具有GMP下游生产相关技术和经验，包括但不仅限于如下要求
1. 熟悉GMP生产车间各种纯化工艺流程、各种层析技术（亲和、疏水、离子交换等）；
2. 熟练掌握GMP生产车间的AKTA、深层过滤、除病毒过滤、超滤等系统的操作；
3. 熟练掌握装柱工作站、多参数测试仪、完整性测试仪、衡器（台秤、地磅、天平）、紫外分光光度计等设备的日常使用与维护；
4. 至少具有两年以上GMP生产经验
 
岗位亮点：
-深入了解行业TOP公司的GMP培训体系，拓展技术人员职业生涯
-专业的培训发展体系，完善的培训工作流程和指导，积极的团队工作氛围"
图像算法工程师,数据中心网络,18-35K,无锡,上海安维尔信息科技股份有限公司,"语音/图像识别,C/C++,深度学习经验",3-5年,社招,数据中心网络,2023/1/11,"岗位职责：
1、将算法与平台结合进行产品化；
2、将图像算法、视频算法、平台整合落地为实际产品。
任职要求：
1. 硕士以上学历，3年以上经验；
2. 有深度学习， 卷积神经网络， 模式识别， 目标识别跟踪等视频算法科研前沿有涉猎的优先考虑；
2. 在相机标定，多视几何，目标识别跟踪，模式识别，深度学习， 算法加速等方向至少熟悉一个。多项加分；
3. 对模式识别有浓厚兴趣优先考虑。"
机器视觉算法工程师,数据中心网络,13-20K,无锡,江苏智联天地科技有限公司,"C++,算法设计,视觉图像算法,CNN,TensorFlow,PyTorch,机器学习算法,深度学习算法",经验不限,社招,数据中心网络,2023/1/11,"岗位职责
1、搭建基于图像特征的文字信息检测识别模型并优化；
2、搭建基于CNN/LSTM的中文、英文等多语种OCR模型并优化；
3、模型压缩及优化，提高算法速度，性能；
4、追踪前沿的文字检测/识别技术并复现，优化。
任职要求
1. 硕士及以上学历；
2. 2年以上文档OCR算法研发经验；
3. 熟悉Python软件开发、熟悉C++开发(加分项)；
4. 具备图像分析与处理能力：图像分割、版面分析等；
5. 熟悉TensorFlow/pytorch/paddlepaddle等神经网络框架开发；
6. 具备较强的分析问题和解决问题能力。"
研发经理,数据中心网络,12-18K,无锡,上海遨菲克科技有限公司,"电子电气/自动化相关专业,硬件开发经验,硬件项目管理经验",经验不限,社招,数据中心网络,2023/1/11,"任职要求：
1. 具备通信、自动化、计算机、网络工程等相关专业本科以上学历;
2. 了解电路原理，工业产品电路设计；
3. 了解DSP/FPGA软硬件开发；
4. 具备数电及单片机硬件设计基础；
5. 有兴趣从事产品硬件电路开发;
6. 具有较强的团队建设能力和沟通协调能力。
岗位技能要求：
1. 负责单片机、DSP、FPGA、ad转换等数字线路开发;
2. 负责相关线路印制板设计;
3. 根据要求编写相关线路简单程序;
4. 完成整机设计。"
（高级）芯片后端设计工程师,数据中心网络,20-40K,无锡,时擎智能科技（上海）有限公司,"芯片后端,IC后端设计",经验不限,社招,数据中心网络,2023/1/11,"岗位职责：
1. 负责芯片设计的布局布线：FloorPlan，Place，CTS，Route；
2. 时序分析，时序收敛；
3. 物理验证：DRC/LVS/ANT等；
 
任职要求：
1. 有55nm及以下工艺节点后端经验；有28nm以下经验者优先；
2. 熟悉后端设计工具及流程；
3. 熟悉时钟树综合、静态时序分析、时序收敛；
4. 了解功耗分析及电源网络分析；
5. 熟悉工艺规则，熟练掌握物理验证及修正；
6. 熟悉Perl，Python，Tcl, Shell等脚本编程。
7. 熟练运用EDA工具，有Innovus，Calibre，Star-RCXT，Virtuoso 等工具使用经验者优先；
8. 硕士2年，或学士3年以上相关设计经验。"
