职位名称,关键词,薪水月薪,城市,公司名称,技能要求,工作经验,"招聘类型（校招，社招）
","产业链环节	",获取时间,职位详情
数据中心项目经理,数据中心,10-15K,无锡,江苏四为信网检测技术有限公司,"项目经理,PMP,实施交付经验,空调柴发Ups水系统,负载均衡技术,企业内部技术项目管理,计算机相关专业,大数据项目管理经验,大数据,云计算",经验不限,社招,数据中心网络,2023/1/17,现场测试管理的项目经理
数据中心项目经理,数据中心,10-13K,无锡,维谛技术服务（深圳）有限公司,"运维管理,机房维护,冷水机组,高低压配电,UPS,数据中心运维,精密空调,厂务",5-10年,社招,数据中心网络,2023/1/17,"薪资可面议！
岗位要求：
1.5年以上通信行业设备维护及项目管理经验，掌握IDC数据中心高低压配电、发电机组、UPS、直流电源、集中监控、暖通、蓄电池等相关专业知识；
2.本科以上学历；
3.有PMP认证优先，有数据中心基础设施运维管理经验优先。
岗位职责：
1.负责宿迁某数据中心项目的人事、财务、行政、业务等所有具体工作；
2.确保设备及人员安全；
3.负责组织周期维护作业计划执行，组织抢修、应急演练工作；
4.熟悉掌握和定期检查设备的运行状况；
5.负责与客户协调、沟通，及时交送客户所需的各种报表；
6.负责对维护人员进行监督、考核、调配、奖惩；工程随工、验收、调试工作的组织和协调工作；
7.项目日常内务管理、文档制作与管理等。"
网络工程师,运维,12-24K,无锡,江苏恒云太信息科技有限公司,"运维通信资格证书,CCNP证书,CCIE证书,数通,数据中心,idc,网络",5-10年,社招,数据中心网络,2023/1/17,"岗位职责：
1、负责公司网络产品的技术评测，方案规划和搭建，提供相关技术支持；
2、建立网络拓扑、IP规划分布、布线系统等文档资料，及时撰写、更新工作及技术文档；
组建、调试、维护广域/局域网；
3、设计数据中心与运营商对接的网络解决方案，与运营商保持良好的合作关系，灵活调度网络资源；
4、设计满足数据中心网络安全的解决方案，运营及维护DDOS、信息安全等产品；
5、设计满足顾客和基础结构带宽、性能要求的网络解决方案，为业务销售提供技术支持；
6、监控并分析所有网络出口、网络内部的流量信息，通过数据分析和其他相关网络测试设备，解决复杂的网络问题；
7、持续改进日常操作以及优化公司网络基础架构及设计布线方案，跟踪网络互连技术发展，合理运用新技术，制定并优化公司网络互连规范。
任职资格：
1、本科及以上学历，计算机网络或通信工程等相关专业毕业，985/211院校优秀毕业生优先；
2、5年以上系统集成行业工作经验，熟悉主流厂商Cisco，Juniper，H3C，华为产品和网络技术；
3、熟悉TCP/IP协议、路由器、交换机、防火墙、DDOS原理；
4、对核心网络有深刻认识，熟练掌握BGP、ISIS等网络原理和操作;
4、对传输网络有深刻认识，熟悉了解Metro，OSN,LH DWDM,OTN,PTN设备操作;
5、具备良好的敬业精神、团队协作能力、沟通能力，以及较强的抗压能力。
6、要求有CCNP证书，具有CCIE、H3CTE、HCIE等相关证书优先考虑。"
网络运维工程师,运维,8-12K,无锡,重庆软维科技有限公司,"HCNA/HCNP,HCIE,sdn,vxlan,数据中心",1-3年,社招,数据中心网络,2023/1/17,"1.熟悉网络的基础架构；
2.对路由和交换知识理解较深，熟悉STP、LACP、OSPF、ISIS、BGP、MPLS-VPN、IPSec、NAT等技术原理；
3.了解控制层面和转发层面的作用和区别；
4.了解云数据中心网络架构，了解Underlay网络配置；
5.熟悉云数据中心网络技术，如：VXLAN、EVPN、M-LAG等技术；
6.熟悉主流厂商的路由器、数据中心交换机和防火墙（华为、华三等）的配置和故障排查；
7.熟悉负载均衡器的配置（F5、Radware等），能应对常见问题；
8.熟悉主流厂商的IPS、IDS、WAF等安全设备，能独立分析日志，排查安全隐患；
9.三年以上数据中心网络运维经验，能独立诊断和处理网络故障问题；
10.有华为HCIE或者思科CCIE证书者优先，有数据中心或者云方向证书者优先。"
网络抓包数据分析工程师,数据中心网络,10-15K,无锡,创信云（江苏）网络技术有限公司,"SQL,计算机相关专业",3-5年,社招,数据中心网络,2023/1/17,"对网络数据抓包，进行数据分析
要求熟练使用抓包工具，有一定经验
待遇从优"
网络工程师,数据中心网络,8-13K,无锡,无锡先导智能装备股份有限公司,网络设备,经验不限,社招,数据中心网络,2023/1/17,"1、熟悉网络的原理和规划，能使用主流网络设备。
2、可以独立完成服务器电脑的系统，数据库、IIS等的配置安装工作
3、能熟练使用掌握虚拟化技术
4、了解数据中心会用到的设备的配置和型号，入服务器、存储、交换机等
5、具有较强的分析判断能力，沟通协调能力，口头表达能力，良好的团队合作精神"
网络工程师,数据中心网络,8-12K,无锡,南京盛佳建业科技有限责任公司,"Linux,Docker,Kubernetes,SDN,周末双休",1-3年,社招,数据中心网络,2023/1/17,"工作地点：
无锡-新吴区-软件园
岗位职责：
1、大专及以上学历，至少2年相关行业工作经验，具备一定网络运维工作经验；
3、了解网络方面的路由交换技术，熟悉相关路由协议；
4、熟练使用Linux，熟悉网络基本原理；
5、了解Docker，Kubernetes；
6、熟悉行业内主流厂商设备，包括华三、华为、思科等路由交换设备。
任职要求：
1、了解网络基础知识，了解SDN相关知识；
2、熟悉主流华为、华三路由交换设备，有较丰富的网络运维和排障经验，能够独立分析和处理网络问题；
3、熟悉防火墙、IPS和WAF等安全设备，能够独立分析日志，对潜在威胁进行排查；
4、主要负责移动营运商数据中心机房网络的维护工作；
5、工作经验丰富优先考虑；
6、至少具备华为、华三或思科中级以上路由交换类认证。"
网络工程师,运维,6-11K,无锡,江苏思恩网络科技有限公司,"网络工程师证,CCIE证书,CCNP证书,CCNA证书",在校/应届,社招,数据中心网络,2023/1/17,"岗位职责：
1、负责公司网络产品的技术评测，方案规划和搭建，提供相关技术支持；
2、建立网络拓扑、IP规划分布、布线系统等文档资料，及时撰写、更新工作及技术文档；
组建、调试、维护广域/局域网；
3、设计数据中心与运营商对接的网络解决方案，与运营商保持良好的合作关系，灵活调度网络资源；
4、设计满足数据中心网络安全的解决方案，运营及维护DDOS、信息安全等产品；
5、设计满足顾客和基础结构带宽、性能要求的网络解决方案，为业务销售提供技术支持；
6、监控并分析所有网络出口、网络内部的流量信息，通过数据分析和其他相关网络测试设备，解决复杂的网络问题；
7、持续改进日常操作以及优化公司网络基础架构及设计布线方案，跟踪网络互连技术发展，合理运用新技术，制定并优化公司网络互连规范。
任职资格：
1、本科及以上学历，计算机网络或通信工程等相关专业毕业；
2、熟悉主流厂商Cisco，Juniper，H3C，华为产品和网络技术；
3、熟悉TCP/IP协议、路由器、交换机、防火墙、DDOS原理；
4、对核心网络有深刻认识，熟练掌握BGP、ISIS等网络原理和操作;
4、对传输网络有深刻认识，熟悉了解Metro，OSN,LH DWDM,OTN,PTN设备操作;
5、具备良好的敬业精神、团队协作能力、沟通能力，以及较强的抗压能力。
6、具有CCIE、H3CTE、HCIE等相关证书优先考虑。"
网络工程师,运维,6-8K,无锡,江苏华兰药用新材料股份有限公司,"网络运维经验,计算机相关专业",3-5年,社招,数据中心网络,2023/1/17,"1、负责网络系统的建立和维护，有效管理并运维网络；
2、基于公司发展需求及信息化建设需求，协助制定并主导数据中心升级计划；
3、负责弱电系统的建立和维护，建立完整的弱电系统建设相关材料，以及运维记录，包括纸档和电子记录；
4、基于组织及用户需求，协助并主导对于办公设备的品牌及型号的选型，配合用户完成设备采购工作；
5、分析网络现状,根据组织需求，协助制定并主导网络安全建设方案；
6、有效管理资产，包括购置、转移、报废等；
7、支持各种内外盘点审核。
任职资格：
1、统招本科及以上学历，网络工程、计算机应用，信息系统管理等专业优先；
2、3年以上大中型企业信息化相关工作经验，有单独运维整个网络系统的相关经验；
3、掌握计算机网络、信息系统管理等相关知识；
4、掌握微软AD,DHCP,DNS管理及运维技术，能够规划、部署、管理和排错网络；
5、掌握LINUX服务器环境的管理及运维技术，能够独立完成SMB等应用的配置及调试；
6、掌握cisco\huawei\h3c等一线品牌交换路由设备的配置调试技术；
7、熟练使用office办公软件，能独立完成应用软件的安装配置；
8、具有良好的组织协调能力和沟通表达能力，自学能力强，具备创新和持续改善精神；
9、思维活跃，性格开朗，工作态度积极，责任心强，具有较强服务和团队意识。"
网络工程师,运维,12-15K,无锡,华勤技术股份有限公司,"故障处理,交换机配置,路由器配置,网络规划设计,CCIE证书,网络工程师证",3-5年,社招,数据中心网络,2023/1/17,"1、负责IDC网络的实施和维护； 
2、负责各类业务网络和办公网络变更及应急故障处理； 
3、根据业务需求，规划设计各类产品的虚拟网络架构和产品实施交付阶段网络的配置； 
4、参与网络运维自动化体系建设，致力于实现网络运维标准化、工具化、自动化； 
职位要求： 
1、本科及以上学历，计算机或理工科相关专业
2、具有互联网企业数据中心网络相关知识
3、精通TCP、IP网络协议，熟悉OSI七层参考模型； 
4、精通静态路由、策略路由、IGP、BGP、VLAN、STP、NAT、ACL、SNMP等协议底层工作原理； 
5、熟悉主流厂商路由器、交换机、防火墙等设备的数据转发原理； 
6、吃苦耐劳，能够承受较强的抗压能力，并能自我驱动进行持续学习，具备良好的沟通能力； 
7、积极主动，具有良好的大局观和运维服务常识；
9、有相关认证优先。"
